"Title","CPI INDEX 07.1.1B : SECOND-HAND CARS 2015=100"
"CDID","D7E9"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","20-07-2022"
"Next release","17 August 2022"
"Important notes",
"1988","131.9"
"1989","136.3"
"1990","138.3"
"1991","144.4"
"1992","151.9"
"1993","150.0"
"1994","153.5"
"1995","155.9"
"1996","161.1"
"1997","164.6"
"1998","162.8"
"1999","155.9"
"2000","146.9"
"2001","144.5"
"2002","141.4"
"2003","137.1"
"2004","132.2"
"2005","124.6"
"2006","121.0"
"2007","117.8"
"2008","109.2"
"2009","108.2"
"2010","114.7"
"2011","112.1"
"2012","108.8"
"2013","106.8"
"2014","105.9"
"2015","100.0"
"2016","95.0"
"2017","93.6"
"2018","95.5"
"2019","93.3"
"2020","96.6"
"2021","108.8"
"1988 Q1","127.0"
"1988 Q2","130.9"
"1988 Q3","134.4"
"1988 Q4","135.3"
"1989 Q1","134.7"
"1989 Q2","136.7"
"1989 Q3","137.6"
"1989 Q4","136.2"
"1990 Q1","134.5"
"1990 Q2","137.8"
"1990 Q3","141.0"
"1990 Q4","139.9"
"1991 Q1","138.1"
"1991 Q2","142.7"
"1991 Q3","147.4"
"1991 Q4","149.2"
"1992 Q1","150.7"
"1992 Q2","153.7"
"1992 Q3","153.9"
"1992 Q4","149.1"
"1993 Q1","144.8"
"1993 Q2","150.3"
"1993 Q3","154.6"
"1993 Q4","150.3"
"1994 Q1","152.5"
"1994 Q2","155.5"
"1994 Q3","154.0"
"1994 Q4","151.9"
"1995 Q1","154.3"
"1995 Q2","157.8"
"1995 Q3","157.8"
"1995 Q4","153.9"
"1996 Q1","157.9"
"1996 Q2","161.7"
"1996 Q3","163.5"
"1996 Q4","161.2"
"1997 Q1","164.4"
"1997 Q2","165.0"
"1997 Q3","165.4"
"1997 Q4","163.6"
"1998 Q1","165.3"
"1998 Q2","164.8"
"1998 Q3","162.2"
"1998 Q4","158.7"
"1999 Q1","159.7"
"1999 Q2","159.2"
"1999 Q3","155.1"
"1999 Q4","149.6"
"2000 Q1","149.6"
"2000 Q2","150.2"
"2000 Q3","145.7"
"2000 Q4","142.0"
"2001 Q1","143.7"
"2001 Q2","145.5"
"2001 Q3","146.4"
"2001 Q4","142.4"
"2002 Q1","143.4"
"2002 Q2","143.4"
"2002 Q3","141.1"
"2002 Q4","137.8"
"2003 Q1","138.2"
"2003 Q2","138.8"
"2003 Q3","136.3"
"2003 Q4","135.0"
"2004 Q1","137.6"
"2004 Q2","134.8"
"2004 Q3","130.1"
"2004 Q4","126.1"
"2005 Q1","127.7"
"2005 Q2","126.2"
"2005 Q3","122.8"
"2005 Q4","121.7"
"2006 Q1","122.5"
"2006 Q2","121.6"
"2006 Q3","120.4"
"2006 Q4","119.4"
"2007 Q1","120.1"
"2007 Q2","119.2"
"2007 Q3","116.4"
"2007 Q4","115.3"
"2008 Q1","114.5"
"2008 Q2","113.1"
"2008 Q3","108.1"
"2008 Q4","101.2"
"2009 Q1","98.0"
"2009 Q2","105.3"
"2009 Q3","113.2"
"2009 Q4","116.2"
"2010 Q1","115.5"
"2010 Q2","117.4"
"2010 Q3","114.4"
"2010 Q4","111.7"
"2011 Q1","114.2"
"2011 Q2","116.5"
"2011 Q3","109.4"
"2011 Q4","108.3"
"2012 Q1","110.4"
"2012 Q2","110.2"
"2012 Q3","106.3"
"2012 Q4","108.6"
"2013 Q1","108.3"
"2013 Q2","107.4"
"2013 Q3","105.4"
"2013 Q4","105.8"
"2014 Q1","106.7"
"2014 Q2","107.1"
"2014 Q3","106.6"
"2014 Q4","103.2"
"2015 Q1","103.0"
"2015 Q2","101.6"
"2015 Q3","97.7"
"2015 Q4","97.7"
"2016 Q1","98.0"
"2016 Q2","95.2"
"2016 Q3","93.6"
"2016 Q4","93.2"
"2017 Q1","95.0"
"2017 Q2","93.8"
"2017 Q3","91.8"
"2017 Q4","93.7"
"2018 Q1","95.0"
"2018 Q2","95.8"
"2018 Q3","95.0"
"2018 Q4","96.2"
"2019 Q1","96.5"
"2019 Q2","93.8"
"2019 Q3","91.8"
"2019 Q4","91.2"
"2020 Q1","93.7"
"2020 Q2","96.5"
"2020 Q3","96.8"
"2020 Q4","99.4"
"2021 Q1","97.6"
"2021 Q2","98.7"
"2021 Q3","113.6"
"2021 Q4","125.4"
"2022 Q1","127.0"
"2022 Q2","120.1"
"1988 JAN","126.8"
"1988 FEB","126.4"
"1988 MAR","127.9"
"1988 APR","129.9"
"1988 MAY","130.6"
"1988 JUN","132.2"
"1988 JUL","133.4"
"1988 AUG","134.5"
"1988 SEP","135.2"
"1988 OCT","135.7"
"1988 NOV","135.5"
"1988 DEC","134.7"
"1989 JAN","134.6"
"1989 FEB","134.1"
"1989 MAR","135.3"
"1989 APR","136.3"
"1989 MAY","136.6"
"1989 JUN","137.2"
"1989 JUL","137.5"
"1989 AUG","137.4"
"1989 SEP","137.8"
"1989 OCT","137.6"
"1989 NOV","136.6"
"1989 DEC","134.4"
"1990 JAN","133.5"
"1990 FEB","134.3"
"1990 MAR","135.6"
"1990 APR","136.6"
"1990 MAY","137.7"
"1990 JUN","139.0"
"1990 JUL","140.3"
"1990 AUG","141.4"
"1990 SEP","141.2"
"1990 OCT","141.0"
"1990 NOV","140.2"
"1990 DEC","138.5"
"1991 JAN","136.8"
"1991 FEB","138.3"
"1991 MAR","139.1"
"1991 APR","140.7"
"1991 MAY","142.6"
"1991 JUN","144.9"
"1991 JUL","146.6"
"1991 AUG","147.1"
"1991 SEP","148.6"
"1991 OCT","149.2"
"1991 NOV","149.3"
"1991 DEC","149.2"
"1992 JAN","149.3"
"1992 FEB","150.6"
"1992 MAR","152.4"
"1992 APR","153.0"
"1992 MAY","153.7"
"1992 JUN","154.5"
"1992 JUL","154.2"
"1992 AUG","154.3"
"1992 SEP","153.1"
"1992 OCT","151.1"
"1992 NOV","149.2"
"1992 DEC","146.9"
"1993 JAN","143.0"
"1993 FEB","144.6"
"1993 MAR","146.6"
"1993 APR","148.4"
"1993 MAY","149.9"
"1993 JUN","152.6"
"1993 JUL","153.9"
"1993 AUG","154.8"
"1993 SEP","155.2"
"1993 OCT","153.8"
"1993 NOV","149.1"
"1993 DEC","148.0"
"1994 JAN","150.1"
"1994 FEB","152.6"
"1994 MAR","154.9"
"1994 APR","155.3"
"1994 MAY","155.9"
"1994 JUN","155.2"
"1994 JUL","154.7"
"1994 AUG","153.6"
"1994 SEP","153.6"
"1994 OCT","152.3"
"1994 NOV","152.0"
"1994 DEC","151.4"
"1995 JAN","152.1"
"1995 FEB","154.3"
"1995 MAR","156.4"
"1995 APR","157.3"
"1995 MAY","156.9"
"1995 JUN","159.0"
"1995 JUL","158.5"
"1995 AUG","157.4"
"1995 SEP","157.4"
"1995 OCT","155.4"
"1995 NOV","153.6"
"1995 DEC","152.8"
"1996 JAN","155.7"
"1996 FEB","158.3"
"1996 MAR","159.7"
"1996 APR","160.9"
"1996 MAY","161.8"
"1996 JUN","162.5"
"1996 JUL","162.3"
"1996 AUG","163.5"
"1996 SEP","164.8"
"1996 OCT","164.1"
"1996 NOV","160.5"
"1996 DEC","159.0"
"1997 JAN","162.6"
"1997 FEB","164.9"
"1997 MAR","165.6"
"1997 APR","165.1"
"1997 MAY","164.3"
"1997 JUN","165.6"
"1997 JUL","165.4"
"1997 AUG","165.5"
"1997 SEP","165.3"
"1997 OCT","164.5"
"1997 NOV","163.6"
"1997 DEC","162.7"
"1998 JAN","164.2"
"1998 FEB","165.9"
"1998 MAR","165.9"
"1998 APR","165.2"
"1998 MAY","165.0"
"1998 JUN","164.3"
"1998 JUL","162.7"
"1998 AUG","161.9"
"1998 SEP","162.0"
"1998 OCT","160.5"
"1998 NOV","159.0"
"1998 DEC","156.6"
"1999 JAN","159.8"
"1999 FEB","159.6"
"1999 MAR","159.6"
"1999 APR","159.8"
"1999 MAY","159.1"
"1999 JUN","158.5"
"1999 JUL","156.7"
"1999 AUG","154.8"
"1999 SEP","153.7"
"1999 OCT","151.8"
"1999 NOV","149.5"
"1999 DEC","147.4"
"2000 JAN","149.2"
"2000 FEB","149.5"
"2000 MAR","150.1"
"2000 APR","150.6"
"2000 MAY","150.7"
"2000 JUN","149.3"
"2000 JUL","147.2"
"2000 AUG","145.5"
"2000 SEP","144.6"
"2000 OCT","143.3"
"2000 NOV","141.8"
"2000 DEC","140.9"
"2001 JAN","143.1"
"2001 FEB","143.6"
"2001 MAR","144.3"
"2001 APR","144.7"
"2001 MAY","145.8"
"2001 JUN","145.8"
"2001 JUL","146.6"
"2001 AUG","146.5"
"2001 SEP","146.1"
"2001 OCT","144.4"
"2001 NOV","141.8"
"2001 DEC","141.0"
"2002 JAN","143.1"
"2002 FEB","143.7"
"2002 MAR","143.2"
"2002 APR","143.5"
"2002 MAY","143.8"
"2002 JUN","143.0"
"2002 JUL","142.6"
"2002 AUG","140.9"
"2002 SEP","139.7"
"2002 OCT","138.6"
"2002 NOV","137.9"
"2002 DEC","136.9"
"2003 JAN","138.4"
"2003 FEB","138.5"
"2003 MAR","137.8"
"2003 APR","138.6"
"2003 MAY","138.9"
"2003 JUN","138.9"
"2003 JUL","137.2"
"2003 AUG","136.2"
"2003 SEP","135.5"
"2003 OCT","135.4"
"2003 NOV","135.1"
"2003 DEC","134.6"
"2004 JAN","137.4"
"2004 FEB","138.1"
"2004 MAR","137.2"
"2004 APR","136.4"
"2004 MAY","134.8"
"2004 JUN","133.3"
"2004 JUL","131.6"
"2004 AUG","130.1"
"2004 SEP","128.6"
"2004 OCT","126.9"
"2004 NOV","126.1"
"2004 DEC","125.4"
"2005 JAN","127.1"
"2005 FEB","128.1"
"2005 MAR","128.0"
"2005 APR","127.5"
"2005 MAY","126.0"
"2005 JUN","125.1"
"2005 JUL","123.9"
"2005 AUG","122.3"
"2005 SEP","122.2"
"2005 OCT","122.1"
"2005 NOV","121.9"
"2005 DEC","121.2"
"2006 JAN","122.9"
"2006 FEB","122.4"
"2006 MAR","122.1"
"2006 APR","121.9"
"2006 MAY","121.7"
"2006 JUN","121.3"
"2006 JUL","120.8"
"2006 AUG","120.3"
"2006 SEP","120.1"
"2006 OCT","119.8"
"2006 NOV","119.4"
"2006 DEC","118.9"
"2007 JAN","120.2"
"2007 FEB","120.6"
"2007 MAR","119.6"
"2007 APR","119.5"
"2007 MAY","119.6"
"2007 JUN","118.6"
"2007 JUL","117.2"
"2007 AUG","116.2"
"2007 SEP","115.8"
"2007 OCT","115.4"
"2007 NOV","115.8"
"2007 DEC","114.6"
"2008 JAN","115.0"
"2008 FEB","114.6"
"2008 MAR","113.9"
"2008 APR","113.9"
"2008 MAY","113.4"
"2008 JUN","111.9"
"2008 JUL","110.6"
"2008 AUG","108.4"
"2008 SEP","105.4"
"2008 OCT","103.2"
"2008 NOV","101.3"
"2008 DEC","99.1"
"2009 JAN","97.2"
"2009 FEB","97.3"
"2009 MAR","99.7"
"2009 APR","102.9"
"2009 MAY","105.6"
"2009 JUN","107.5"
"2009 JUL","110.7"
"2009 AUG","113.2"
"2009 SEP","115.6"
"2009 OCT","116.9"
"2009 NOV","117.0"
"2009 DEC","114.8"
"2010 JAN","115.5"
"2010 FEB","115.7"
"2010 MAR","115.3"
"2010 APR","115.9"
"2010 MAY","118.0"
"2010 JUN","118.3"
"2010 JUL","116.5"
"2010 AUG","114.0"
"2010 SEP","112.7"
"2010 OCT","112.5"
"2010 NOV","112.0"
"2010 DEC","110.5"
"2011 JAN","112.7"
"2011 FEB","114.0"
"2011 MAR","115.8"
"2011 APR","117.7"
"2011 MAY","117.5"
"2011 JUN","114.3"
"2011 JUL","110.7"
"2011 AUG","108.5"
"2011 SEP","108.9"
"2011 OCT","108.7"
"2011 NOV","108.8"
"2011 DEC","107.6"
"2012 JAN","109.7"
"2012 FEB","110.7"
"2012 MAR","110.6"
"2012 APR","110.9"
"2012 MAY","110.8"
"2012 JUN","108.8"
"2012 JUL","107.7"
"2012 AUG","105.4"
"2012 SEP","105.8"
"2012 OCT","108.9"
"2012 NOV","108.9"
"2012 DEC","107.9"
"2013 JAN","109.2"
"2013 FEB","107.9"
"2013 MAR","107.9"
"2013 APR","107.5"
"2013 MAY","107.7"
"2013 JUN","107.0"
"2013 JUL","105.8"
"2013 AUG","105.2"
"2013 SEP","105.3"
"2013 OCT","105.4"
"2013 NOV","106.1"
"2013 DEC","106.1"
"2014 JAN","106.4"
"2014 FEB","106.8"
"2014 MAR","106.8"
"2014 APR","107.9"
"2014 MAY","107.3"
"2014 JUN","106.2"
"2014 JUL","106.8"
"2014 AUG","107.1"
"2014 SEP","105.7"
"2014 OCT","104.0"
"2014 NOV","102.9"
"2014 DEC","102.7"
"2015 JAN","103.4"
"2015 FEB","103.3"
"2015 MAR","102.5"
"2015 APR","102.7"
"2015 MAY","101.4"
"2015 JUN","100.6"
"2015 JUL","98.7"
"2015 AUG","97.6"
"2015 SEP","96.8"
"2015 OCT","96.6"
"2015 NOV","98.2"
"2015 DEC","98.2"
"2016 JAN","99.0"
"2016 FEB","97.5"
"2016 MAR","97.6"
"2016 APR","95.6"
"2016 MAY","95.2"
"2016 JUN","95.0"
"2016 JUL","94.6"
"2016 AUG","93.1"
"2016 SEP","92.9"
"2016 OCT","92.8"
"2016 NOV","93.4"
"2016 DEC","93.4"
"2017 JAN","94.7"
"2017 FEB","95.3"
"2017 MAR","95.0"
"2017 APR","94.6"
"2017 MAY","94.1"
"2017 JUN","92.8"
"2017 JUL","91.7"
"2017 AUG","91.5"
"2017 SEP","92.2"
"2017 OCT","93.0"
"2017 NOV","94.2"
"2017 DEC","93.9"
"2018 JAN","94.5"
"2018 FEB","94.9"
"2018 MAR","95.7"
"2018 APR","95.6"
"2018 MAY","96.2"
"2018 JUN","95.6"
"2018 JUL","94.7"
"2018 AUG","94.4"
"2018 SEP","95.8"
"2018 OCT","96.1"
"2018 NOV","96.0"
"2018 DEC","96.6"
"2019 JAN","96.4"
"2019 FEB","96.6"
"2019 MAR","96.5"
"2019 APR","94.9"
"2019 MAY","93.9"
"2019 JUN","92.7"
"2019 JUL","93.0"
"2019 AUG","91.8"
"2019 SEP","90.6"
"2019 OCT","90.4"
"2019 NOV","91.8"
"2019 DEC","91.5"
"2020 JAN","91.8"
"2020 FEB","93.9"
"2020 MAR","95.3"
"2020 APR","96.3"
"2020 MAY","96.8"
"2020 JUN","96.5"
"2020 JUL","95.3"
"2020 AUG","96.6"
"2020 SEP","98.6"
"2020 OCT","100.0"
"2020 NOV","99.7"
"2020 DEC","98.5"
"2021 JAN","99.0"
"2021 FEB","97.2"
"2021 MAR","96.5"
"2021 APR","96.5"
"2021 MAY","97.6"
"2021 JUN","101.9"
"2021 JUL","109.0"
"2021 AUG","114.3"
"2021 SEP","117.5"
"2021 OCT","122.9"
"2021 NOV","126.7"
"2021 DEC","126.7"
"2022 JAN","127.4"
"2022 FEB","127.0"
"2022 MAR","126.5"
"2022 APR","122.6"
"2022 MAY","120.4"
"2022 JUN","117.4"
